,name,gene_reaction_rule,subunit_mw,subunit_num
FE2tex,Iron (II) transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
NMNtex,NMN transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
NO2tex,Nitrite transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DHPS2,Dihydropteroate synthase,b3177,30.61511,2
MTHFC,Methenyltetrahydrofolate cyclohydrolase,b0529,31.04375,2
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),b0529,31.04375,2
BUTt2rpp,"Butyrate transport via proton symport, reversible (periplasm)",b2223,47.52771,1
CADVtpp,Lysine/Cadaverine antiporter (periplasm),b4132,46.66503,1
QULNS,Quinolinate synthase,b0750,38.2408,2
ALKP,Alkaline phosphatase,b2690,20.77981,1
GDPtex,GDP transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
TMAtex,Trimethylamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TMAOtex,Trimethylamine N-oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TREtex,Trehalose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
L_LACD3,L-Lactate dehydrogenase (menaquinone),( b0308 and b0306 and b0307 ) or b3605,( 25.21271 and 26.00429 and 53.0519 ) or 42.72819 ,( 1 and 1 and 1 ) or 1 
L_LACD2,L-Lactate dehydrogenase (ubiquinone),( b0306 and b0308 and b0307 ) or b3605,( 26.00429 and 25.21271 and 53.0519 ) or 42.72819 ,( 1 and 1 and 1 ) or 1 
ACACT6r,Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),b2342 or b3845,46.5305 or 40.8762 ,1 or 2 
TRPtex,L-tryptophan transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TSULtex,Thiosulfate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TYRtex,L-tyrosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
URAtex,Uracil transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UREAtex,Urea transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
URItex,Uridine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
VALtex,L-valine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
XANtex,Xanthine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
XYLtex,D-xylose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ABUTtex,4-aminobutyrate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FORtppi,Formate transport via diffusion (cytoplasm to periplasm),b0904 or b2492,30.99073 or 30.5646 ,5 or 1 
GLCTR1,Glucosyltransferase I (LPS core synthesis),b3631,42.28413,1
LIPAabcpp,Lipid A transport via ABC system (periplasm),b0914,64.46071,2
LIPACabcpp,Lipid (cold) A transport via ABC system (periplasm),b0914,64.46071,2
GGGABADr,Gamma-glutamyl-gamma aminobutyric acid dehydrogenase,b1300,53.41863,1
GLYOX3,Glyoxalase III,b1967,31.19,2
FDMO3,FMNH2-dependent monooxygenase (ethanesulfonate),b0935,41.73627,4
FDMO4,FMNH2-dependent monooxygenase (butanesulfonate),b0935,41.73627,4
BUTSO3abcpp,Butanesulfonate transport via ABC system (periplasm),( b0933 and b0934 and b0936 ) or ( b0365 and b0366 and b0367 ),( 27.73811 and 28.92546 and 34.55775 ) or ( 34.26612 and 28.29675 and 29.81193 ) ,( 2 and 2 and 1 ) or ( 1 and 2 and 2 ) 
ETHSO3abcpp,Ethanesulfonate transport via ABC system (periplasm),b0933 and b0934 and b0936,27.73811 and 28.92546 and 34.55775 ,2 and 2 and 1 
O16GLCT1,Glucosyltransferase I (LPS O16 antigen biosynthesis),b2032,43.18818,1
O16AP2pp,O16 antigen polymerase (periplasm),b2027 and b2035,36.45474 and 44.74431 ,1 and 1 
O16AP3pp,O16 antigen polymerase (periplasm),b2027 and b2035,36.45474 and 44.74431 ,1 and 1 
O16A4Lpp,O16 anitgen (x4) ligase (periplasm),b3622,46.87768,1
MALTATr,Maltose O-acetyltransferase,b0459,20.09599,3
ENTERES,Enterochelin Esterase,b0585,45.65194,1
23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3AMPtex,3AMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3CMPtex,3CMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LADGMDH,L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase,b1326,26.558,2
ALAGLUE,L-alanyl-gamma-glutamate epimerase,b1325,34.67401,1
FEENTERtpp,Enterochelin transport (secretion),b0591,43.28195,1
FEENTERtex,Enterochelin transport (secretion periplasm),b3035,53.74072,3
PTRCt2pp,Putrescine transport in via proton symport,b1296 or b0692 or b2014,50.85305 or 46.49486 or 49.538 ,1 or 1 or 1 
GGGABAH,Gamma-glutamyl-gamma-aminobutyric acid hydrolase,b1298,28.01303,2
FRULYSK,Fructoselysine Kinase,b3374,28.33185,1
FDMO6,FMNH2-dependent monooxygenase (sulfoacetate),b0935,41.73627,4
SULFACabcpp,Sulfoacetate transport via ABC system (periplasm),b0933 and b0934 and b0936,27.73811 and 28.92546 and 34.55775 ,2 and 2 and 1 
ETHSO3tex,Ethanesulfonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
BUTSO3tex,Butanesulfonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LIPOtex,Lipoate transport via diffusion (extracellular to periplasm),b0929 or b1377 or b2215 or b0241,39.33331 or 41.21985 or 40.36812 or 38.922 ,3 or 1 or 3 or 3 
CYANSTpp,Cyanide sulfurtransferase (periplasmic),b1308,11.47531,1
MCPST,3-mercaptopyruvate sulfurtransferase,b2521,30.81184,1
PHEMEabcpp,Protoheme transport via ABC system (periplasm),b2200 and b2199 and b2198 and b2197 and b2201,23.6188 and 27.88534 and 7.74513 and 17.69832 and 23.05325 ,1 and 1 and 1 and 1 and 2 
GALBDtex,Beta D-galactose transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 
LIPAHT2ex,Core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane),b0622,21.76958,2
LIPAHTex,Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane),b0622,21.76958,2
ECAP1pp,Enterobacterial common antigen polymerase (periplasm),b3785 and b3793 and b3792,39.4891 and 51.51729  and 44.95965,1 and 1 and 1
UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),b3057 or b1278 or b0841,29.75876 or 29.02126 or 22.39865 ,1 or 1 or 1 
ECAP2pp,Enterobacterial common antigen polymerase (periplasm),b3785 and b3793 and b3792,39.4891 and 51.51729  and 44.95965,1 and 1 and 1
ECA4OALpp,Enterobacterial common antigen (x4) O-antigen ligase (periplasm),b3622,46.87768,1
FE3Ri,Fe(III) reduction,b3844,26.24199,1
SULFACtex,Sulfoaceate transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
NODOy,Nitric oxide dioxygenase,b2552,43.86766,1
GALM2pp,Aldose-1-epimerase,b0756,38.19046,1
CU1abcpp,Copper (Cu +1) ABC transporter (periplasm),b0484,87.87314,1
HG2abcpp,Mercury (Hg+2) ABC transporter (periplasm),b3469,76.83988,1
GLCTR3,Glucosyltransferase III (LPS core synthesis),b3626,39.04034,1
HEPT4,Heptosyltransferase IV (LPS core synthesis),b3623,41.72946,1
LA4NTpp,"4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))",b2257,62.54257,1
NODOx,Nitric oxide dioxygenase,b2552,43.86766,1
NOtex,Nitric oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
NHFRBO,NADH:flavorubredoxin oxidoreductase,b2711 and b2710,41.40359 and 54.23418 ,1 and 4 
N2Otex,Nitrious oxide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),b0040,56.58729,3
CRNt2rpp,L-carnitine outward transport (H+ antiport),b4111,54.84582,2
CRNDt2rpp,D-carnitine outward transport (H+ antiport),b4111,54.84582,2
CTBTt2rpp,Cronobetaine outward transport (H+ antiport),b4111,54.84582,2
42A12BOOXpp,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",b1386,84.37866,2
TYROXDApp,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (periplasm),b1386,84.37866,2
PEAMNtex,Phenethylamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
PACALDtex,Phenethylacetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
NTRIR4pp,"Nitrite Reductase (Menaquinole-8, periplasm)",b4072 and b4070 and b4071 and b4073,24.56745 and 53.70294 and 20.71447 and 35.04224 ,1 and 1 and 1 and 1 
NTRIR3pp,"Nitrite Reductase (Ubiquinole-8, periplasm)",b4072 and b4070 and b4071 and b4073,24.56745 and 53.70294 and 20.71447 and 35.04224 ,1 and 1 and 1 and 1 
INOSTt4pp,Na+/myo-inositol symporter (periplasm),b3679,62.08497,1
AGM3PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase,b0110,20.53617,1
CYANtex,Cyanide transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
SO3tex,Sulfite transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TCYNTtex,Thiocyanate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACANTHAT,Acetyl-CoA:anthranilate acetyltransferase,b1463,32.27458,2
METSOX1tex,L-methionine S-oxide diffusion (extracellular),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
METSOX2tex,L-methionine R-oxide diffusion (extracellular),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3UMPtex,3UMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
3GMPtex,3GMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
METSOXR1,L-methionine-S-oxide reductase,( b3551 and b2582 ) or ( b2582 and b4219 ) or ( b3781 and b4219 ) or ( b3551 and b3781 ),( 85.85066 and 15.55477 ) or ( 15.55477 and 23.31503 ) or ( 11.80662 and 23.31503 ) or ( 85.85066 and 11.80662 ) ,( 1 and 1 ) or ( 1 and 1 ) or ( 1 and 1 ) or ( 1 and 1 ) 
METSOXR2,L-methionine-R-sulfoxide reductase,( b1832 and b3781 ) or ( b2582 and b1778 ) or ( b3781 and b1778 ) or ( b1832 and b2582 ),( 18.122 and 11.80662 ) or ( 15.55477 and 15.45118 ) or ( 11.80662 and 15.45118 ) or ( 18.122 and 15.55477 ) ,( 2 and 1 ) or ( 1 and 1 ) or ( 1 and 1 ) or ( 2 and 1 ) 
DAPAL,"2,3-diaminopropionate amonnia lyase",b2871,43.32756,2
AMPTASECG,Alanyl aminopeptidase (cys-gly),b2523 or b0932 or b4260 or b0237,46.18017 or 98.91894 or 54.87981 or 52.91541 ,6 or 1 or 6 or 2 
DOPAtex,Dopamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
4HOXPACDtex,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
LACZpp,B-galactosidase,b2132,83.46005,1
GPDDA1pp,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),b2239,40.84335,2
GPDDA5pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),b2239,40.84335,2
ETHAtex,Ethanolamine transport via diffusion (extracellular),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
G3PStex,Glycerophosphserine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
FLVR,Flavin reductase,b3844 or ( b2764 and b2763 ),26.24199 or ( 66.26984 and 63.99812 ) ,1 or ( 8 and 4 ) 
FDMO2,FMNH2-dependent monooxygenase (methanesulfonate),b0935,41.73627,4
LALGP,L-alanyl-gamma-L-glutamate peptidase,b0237,52.91541,2
AGM4PApp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),b2435 or b2817 or b4169 or b0867,31.41213 or 45.63445 or 47.98523 or 31.072 ,1 or 1 or 1 or 1 
AGM4PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase,b0110,20.53617,1
RNDR3b,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b2676 and b2675 and b1064 ) or ( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b3610 ) or ( b2676 and b2675 and b1654 ),( 36.44324 and 80.47901 and 24.35021 ) or ( 9.68485 and 36.44324 and 80.47901 ) or ( 36.44324 and 80.47901 and 9.13749 ) or ( 36.44324 and 80.47901 and 12.87876 ) ,( 2 and 2 and 1 ) or ( 1 and 2 and 2 ) or ( 2 and 2 and 1 ) or ( 2 and 2 and 2 ) 
RNDR4b,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b2676 and b2675 and b1654 ) or ( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b3610 ) or ( b2676 and b2675 and b1064 ),( 36.44324 and 80.47901 and 12.87876 ) or ( 9.68485 and 36.44324 and 80.47901 ) or ( 36.44324 and 80.47901 and 9.13749 ) or ( 36.44324 and 80.47901 and 24.35021 ) ,( 2 and 2 and 2 ) or ( 1 and 2 and 2 ) or ( 2 and 2 and 1 ) or ( 2 and 2 and 1 ) 
ACGAL1Ptex,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
ACGALtex,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLCUR1Ptex,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPGLCURtex,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPGALPpp,UDPgalactose pyrophosphohydrolase,b0480,60.82397,1
UACGAMPpp,UDP-N-acetyl-D-glucosamine pyrophosphohydrolase (periplasm),b0480,60.82397,1
UACGALPpp,UDP-N-acetyl-D-galactosamine pyrophosphohydrolase (periplasm),b0480,60.82397,1
UGLCURPpp,UDP-D-glucuronate pyrophosphohydrolase (periplasm),b0480,60.82397,1
FEROpp,Ferroxidase,b0123 or b3336,56.55615 or 18.495 ,1 or 24 
ISETACabcpp,Isethionate transport via ABC system (periplasm),( b0366 and b0365 and b0367 ) or ( b0934 and b0933 and b0936 ),( 28.29675 and 34.26612 and 29.81193 ) or ( 28.92546 and 27.73811 and 34.55775 ) ,( 2 and 1 and 2 ) or ( 2 and 2 and 1 ) 
ISETACtex,Isethionate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPGtex,UDPglucose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPGALtex,UDPgalactose transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
ACGAM1Ptex,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UACGAMtex,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
UDPACGALtex,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",b1192,33.56747,1
AM3PA,Anhydrous-N-Acetylmuramyl-tripeptide amidase,b0110,20.53617,1
UM4PCP,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase",b1192,33.56747,1
CBLAT,Cob(I)alamin adenosyltransferase,b1270,21.99889,1
MSO3abcpp,Methanesulfonate transport via ABC system (periplasm),b0936 and b0933 and b0934,34.55775 and 27.73811 and 28.92546 ,1 and 2 and 2 
MSO3tex,Methanesulfonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
TDP,Thiamin pyrophosphatase,b1134,17.43291,1
3PEPTabcpp,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),( b2178 and b2177 and b2180 and b2179 ) or ( b1329 and b1247 and b1245 and b1244 and b1246 ) or ( b1244 and b1247 and b1245 and b1246 and b1243 ),( 40.36 and 69.669 and 58.726 and 38.092 ) or ( 59.90021 and 37.19755 and 33.02192 and 33.4432 and 37.18843 ) or ( 33.4432 and 37.19755 and 33.02192 and 37.18843 and 60.89893 ) ,( 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 and 1 ) 
4PEPTabcpp,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),( b1245 and b1247 and b1243 and b1244 and b1246 ) or ( b2178 and b2177 and b2180 and b2179 ),( 33.02192 and 37.19755 and 60.89893 and 33.4432 and 37.18843 ) or ( 40.36 and 69.669 and 58.726 and 38.092 ) ,( 1 and 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 ) 
AGM3Pt2pp,GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm),b0433,53.2452,1
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),b0433,53.2452,1
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),b0433,53.2452,1
FEOXAMR1,Ferroxamine reductase,b4367,30.11275,1
FEOXAMR2,Ferroxamine reductase,b4367,30.11275,1
FEOXAMR3,Ferroxamine reductase,b4367,30.11275,1
PTHRpp,Phospho-L-threonine phosphatase (periplasmic),b4055 or b0383,26.10354 or 49.43859 ,4 or 2 
ARABDI,L-fucose isomerase,b2802,64.97667,6
AGt3,Silver transport out via proton antiport,b0573 and b0572 and b0574 and b0575,12.25116 and 50.26959 and 44.3049 and 114.70715 ,1 and 3 and 6 and 3 
CD2t3pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),b3915 or b0752,32.92726 or 34.67842 ,2 or 1 
