,name,gene_reaction_rule,subunit_num
OCDCEAtexi,Octadecenoate (n-C18:1) transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1
G6Ptex,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
TUNGSabcpp,Tungstate transport via ABC system (periplasm),b0765 and b0764 and b0763,1 and 2 and 1 
MOBDabcpp,Molybdate transport via ABC system (periplasm),( b2424 and b2422 and b2423 and b3917 ) or ( b0765 and b0764 and b0763 ) or ( b2423 and b2425 and b2422 and b2424 ),( 1 and 2 and 1 and 1 ) or ( 1 and 2 and 1 ) or ( 1 and 1 and 2 and 1 ) 
MOBDtex,Molybdate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NI2uabcpp,"Nickel transport via ABC system (uptake, periplasm)",( b3477 and b3476 and b3480 and b3479 and b3478 ) or b4242,( 1 and 1 and 1 and 1 and 1 ) or 1 
NI2tex,Nickel transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
R15BPK,"Ribose-1,5-bisphosphokinase",b4094,1
Kabcpp,Potassium ABC transporter (periplasm),( b0697 and b0698 and b0696 ) or ( b0697 and b0698 and b0696 and b4513 ),( 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 ) 
LEUabcpp,L-leucine transport via ABC system (periplasm),( b3454 and b3460 and b3455 and b3457 and b3456 ) or ( b3457 and b3456 and b3458 and b3455 and b3454 ),( 1 and 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 and 1 ) 
L_LACt2rpp,L-lactate reversible transport via proton symport (periplasm),b3603 or b2975,1 or 1 
MALt2_2pp,Malate transport via proton symport (2 H) (periplasm),b3528,1
MALt2_3pp,Malate transport via proton symport (3 H) (periplasm),b4123 or b4138,1 or 1 
MALTabcpp,Maltose transport via ABC system (periplasm),b4032 and b4033 and b4035 and b4034,1 and 1 and 2 and 1 
MALTHXabcpp,Maltohexaose transport via ABC system (periplasm),b4033 and b4034 and b4032 and b4035,1 and 1 and 1 and 2 
MALTPTabcpp,Maltopentaose transport via ABC system (periplasm),b4033 and b4035 and b4032 and b4034,1 and 2 and 1 and 1 
MALTTRabcpp,Maltotriose transport via ABC system (periplasm),b4033 and b4034 and b4035 and b4032,1 and 1 and 2 and 1 
MALTTTRabcpp,Maltotetraose transport via ABC system (periplasm),b4034 and b4033 and b4032 and b4035,1 and 1 and 1 and 2 
MAN6Pt6_2pp,Mannose-6-phosphate transport via phosphate antiport (periplasm),b3666,1
MANGLYCptspp,2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm),b0731 and b2415 and b2416,1 and 1 and 2 
MELIBt2pp,Melibiose transport in via symport (periplasm),b4120 or b0343,1 or 1 
METabcpp,L-methionine transport via ABC system (periplasm),b0197 and b0198 and b0199,1 and 2 and 2 
GGPTRCS,Gamma glutamyl putrescine synthase,b1297,12
RMNtpp,L-rhamnose transport via proton symport (periplasm),b3907,1
SERt4pp,L-serine via sodium symport (periplasm),b3089,1
SUCCt2_3pp,Succintate transport via proton symport (3 H) (periplasm),b4123 or b4138,1 or 1 
MNLptspp,Mannitol transport via PEP:Pyr PTS (periplasm),( b2933 and b2415 and b2934 and b2416 ) or ( b3599 and b2415 and b2416 ) or ( b2703 and b2704 and b2415 and b2702 and b2416 ),( 1 and 1 and 1 and 2 ) or ( 2 and 1 and 2 ) or ( 1 and 1 and 1 and 1 and 2 ) 
NAt3_1p5pp,Sodium proton antiporter (H:NA is 1.5) (periplasm),b1186,1
NAt3_2pp,Sodium proton antiporter (H:NA is 2) (periplasm),b0019,2
NH4tpp,Ammonia reversible transport (periplasm),b0451,3
NMNPtpp,NMN permease (periplasm),b0751,1
NO2t2rpp,"Nitrite transport in via proton symport, reversible (periplasm)",b1223 or b3367,1 or 1 
NO3t7pp,Nitrate transport in via nitrite antiport (periplasm),b1223 or b1469,1 or 1 
ORNabcpp,Ornithine transport via ABC system (periplasm),b2306 and b2307 and b2308 and b2310,2 and 1 and 1 and 1 
PIuabcpp,"Phosphate transport via ABC system (uptake, periplasm)",b3728 and b3725 and b3727 and b3726,1 and 2 and 1 and 1 
PNTOt4pp,Pantothenate sodium symporter (periplasm),b3258,1
FRULYSDG,Fructoselysine phosphate deglycase,b3371,12
METDabcpp,D-methionine transport via ABC system (periplasm),b0199 and b0198 and b0197,2 and 2 and 1 
PROabcpp,L-proline transport via ABC system (periplasm),b2678 and b2677 and b2679,2 and 2 and 1 
PROt2rpp,L-proline reversible transport via proton symport (periplasm),b4111 or b0402,2 or 1 
PROt4pp,Na+/Proline-L symporter (periplasm),b1015,1
PTRCabcpp,Putrescine transport via ABC system (periplasm),( b1441 and b1440 and b1442 and b1443 ) or ( b0857 and b0854 and b0855 and b0856 ) or ( b1124 and b1125 and b1126 and b1123 ),( 1 and 1 and 1 and 1 ) or ( 1 and 1 and 2 and 1 ) or ( 1 and 1 and 2 and 1 ) 
ASNNpp,L-asparaginase,b2957,4
GLUNpp,Glutaminase,b2957,4
NTD12,5'-nucleotidase (dIMP),b3399 or b2744 or b2291 or b2361,1 or 1 or 2 or 1 
FECRMtonex,Ferrichrome transport via ton system (extracellular),b3006 and b1252 and b3005 and b0150,1 and 1 and 1 and 1 
ADOCBLabcpp,Adenosylcobalamin transport via ABC system (periplasm),b0158 and b1709 and b1711,1 and 2 and 2 
CRNabcpp,L-carnitine transport via ABC system (periplasm),b2677 and b2679 and b2678,2 and 1 and 2 
CRNDabcpp,D-carnitine transport via ABC system (periplasm),b2677 and b2679 and b2678,2 and 1 and 2 
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,b1865 or b0099,1 or 1 
CTBTabcpp,Crotonobetaine transport via ABC system (periplasm),b2677 and b2678 and b2679,2 and 2 and 1 
NTPP9,Nucleoside triphosphate pyrophosphorylase (itp),b2954,2
NTPP10,Nucleoside triphosphate pyrophosphorylase (ditp),b2954,2
NTPP11,Nucleoside triphosphate pyrophosphorylase (xtp),b2954,2
NTD10pp,5'-nucleotidase (XMP),b4055 or b0480,4 or 1 
NTD1pp,5'-nucleotidase (dUMP),b0480 or b4055,1 or 4 
NTD2pp,5'-nucleotidase (UMP),b0480 or b4055 or b0383,1 or 4 or 2 
NTD3pp,5'-nucleotidase (dCMP),b0480 or b4055,1 or 4 
NTD4pp,5'-nucleotidase (CMP),b4055 or b0480 or b0383,4 or 1 or 2 
NTD5pp,5'-nucleotidase (dTMP),b4055 or b0480,4 or 1 
NTD6pp,5'-nucleotidase (dAMP),b0480 or b4055,1 or 4 
NTD7pp,5'-nucleotidase (AMP),b4055 or b0480 or b0383,4 or 1 or 2 
NTD9pp,5'-nucleotidase (GMP),b4055 or b0480 or b0383,4 or 1 or 2 
PEAMNOpp,Phenethylamine oxidase,b1386,2
GAL1PPpp,D-galactose 1-phosphatase,b1002,2
H2O2tex,Hydrogen peroxide transport via diffusion (external),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ARGDCpp,Arginine decarboxylase,b2938,4
ALLPI,Allose 6-phosphate isomerase,b4090,2
ALLK,Allose kinase,b4084,1
ALLULPE,Allulose 6-phosphate epimerase,b4085,1
ADEtex,Adenine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ADNtex,Adenosine transport via diffusion (extracellular to periplasm),b0411,1
AGMtex,Agmatine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ALAtex,L-alanine transport via diffusion (extracellular to periplasm),b2215 or b0241 or b1377 or b0929,3 or 3 or 1 or 3 
BALAtex,Beta-alanine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DALAtex,D-Alanine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
AMPtex,AMP transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
ARBtex,L-arabinose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ARGtex,L-arginine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ASCBtex,L-ascorbate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FACOAL100t2pp,Fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling),b1805 or b1701,2 or 1 
RIBabcpp,D-ribose transport via ABC system (periplasm),( b3749 and b3750 and b3751 and b3748 ) or ( b4485 and b4230 and b4227 and b4231 ) or ( b4086 and b4088 and b4087 ),( 1 and 2 and 1 and 10 ) or ( 1 and 1 and 1 and 1 ) or ( 2 and 1 and 1 ) 
GPDDA3pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),b2239,2
GPDDA4pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),b2239,2
GPDDA2pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),b2239,2
FACOAL120t2pp,Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling),b1701 or b1805,1 or 2 
FACOAL140t2pp,Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),b1701 or b1805,1 or 2 
FE3HOXtonex,Fe(III)hydroxamine transport via ton system (extracellular),b3006 and b1252 and b3005 and b0150,1 and 1 and 1 and 1 
CU2abcpp,Copper (Cu+2) ABC transporter (periplasm),b3469,1
COBALT2abcpp,Cobalt (Co+2) ABC transporter (periplasm),b3469,1
NI2abcpp,Nickle (Ni+2) ABC transporter (periplasm),b3469,1
MG2uabcpp,"Magnesium (Mg+2) ABC transporter (ubtake, periplasm)",b4242,1
HCYSMT2,Homocysteine Methyltransferase,b0261,1
MMETtex,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FE3tex,Iron (III) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MG2tex,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
Zn2tex,Zinc (Zn+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MMETt2pp,S-methylmethionine permease (periplasm),b0260,1
CD2tex,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLNabcpp,L-glutamine transport via ABC system (periplasm),b0809 and b0811 and b0810,2 and 1 and 2 
GLUabcpp,L-glutamate transport via ABC system (periplasm),b0654 and b0653 and b0655 and b0652,1 and 1 and 1 and 2 
GLUABUTt7pp,4-aminobutyrate/glutamate antiport (periplasm),b1492,1
GLUt2rpp,"L-glutamate transport via proton symport, reversible (periplasm)",b4077,1
GLUt4pp,Na+/glutamate symport (periplasm),b3653,1
GLYALDtpp,Glyceraldehyde facilitated diffusion (periplasm),b3927,4
ACGK,Acetylglutamate kinase,b3959,2
LCTSt3ipp,Lactose transport via proton aniport (periplasm),b2170 or b1528 or b0070,1 or 1 or 1 
ARBt3ipp,L-arabinose transport via proton antiport (periplasm),b1528,1
14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)",b4035 and b4032 and b4034 and b4033,2 and 1 and 1 and 1 
14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible",b4036,3
DHPTPE,Dihydroneopterin triphosphate 2'-epimerase,b2303,8
NADPHQR2,NADPH Quinone Reductase (Ubiquinone-8),b3028,2
NADPHQR3,NADPH Quinone Reductase (Menaquinone-8),b3028,2
NADPHQR4,NADPH Quinone Reductase (2-Demethylmenaquinone-8),b3028,2
GLBRAN2,"1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)",b3432,1
ASR,Arsenate reductase,b1064 and b3503,1 and 1 
ASO3tex,Arsenite transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MANGLYCtex,2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
FRUURt2rpp,"D-fructuronate transport via proton symport, reversible (periplasm)",b4321,1
FRUURtex,D-fructuronate transport via diffusion (extracellular),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ECAtpp,"Enterobacterial common antigen transferase (flippase, cytoplasm to periplasm)",b3792,1
O16AT,Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate O-acetyltransferase (LPS O16 antigen biosynthesis),b2033,1
O16GALFT,Galactofuranosyltransferase (LPS O16 antigen biosynthesis),b2034,1
O16AUNDtpp,"O16 antigen (flippase, cytoplasm to periplasm)",b2037,1
O16AP1pp,O16 antigen polymerase (periplasm),b2027 and b2035,1 and 1 
GLYCAt2rpp,"D-glycerate transport via proton symport, reversible (periplasm)",b3127 or b2789,1 or 1 
GLYCAtex,D-glycerate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",b1192,1
4PCP,"Tetrapeptide L,D-carboxypeptidase",b1192,1
4PCPpp,"Tetrapeptide L,D-carboxypeptidase (periplasm)",b2175,1
FALDH2,Formaldehyde dehydrogenase,b0356,2
GLYBabcpp,Glycine betaine transport via ABC system (periplasm),( b2130 and b2131 and b2129 and b2128 ) or ( b2679 and b2677 and b2678 ),( 1 and 1 and 1 and 1 ) or ( 1 and 2 and 2 ) 
GLYC3Pt6pp,Glycerol-3-phosphate : phosphate antiporter (periplasm),b2240,1
GLYCLTt4pp,Glycolate transport via sodium symport (periplasm),b4067,2
GLYCtpp,Glycerol transport via channel (periplasm),b3927,4
H2Otpp,H2O transport via diffusion (periplasm),b0875,4
HCINNMt2rpp,"3-hydroxycinnamic acid transport via proton symport, reversible (periplasm)",b0353,1
HISabcpp,L-histidine transport via ABC system (periplasm),b2308 and b2307 and b2306 and b2309,1 and 1 and 2 and 1 
HISt2rpp,L-histidine reversible transport via proton symport (periplasm),b0112,1
CBIAT,Cobinamide adenyltransferase,b1270,1
LYSabcpp,L-lysine transport via ABC system (periplasm),b2310 and b2308 and b2306 and b2307,1 and 1 and 2 and 1 
COBALT2tex,Cobalt (Co+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
PPDOy,"Propane-1,2-diol:NADP+ 1-oxidoreductase",b0325,1
NTD12pp,5'-nucleotidase (dIMP) (periplasm),b0480 or b4055,1 or 4 
PPA2,Inorganic triphosphatase,b2502 or b2744,2 or 1 
DIMPtex,DIMP transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
3NTD7pp,3'-nucleotidase (AMP) (periplasm),b4213 or b0383,1 or 2 
3NTD4pp,3'-nucleotidase (CMP) (periplasm),b0383 or b4213 or b0383,2 or 1 or 2 
3NTD2pp,3'-nucleotidase (UMP) (periplasm),b4213 or b0383,1 or 2 
3NTD9pp,3'-nucleotidase (GMP) (periplasm),b4213 or b0383,1 or 2 
23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",b4213,1
GALTptspp,Galactitol transport via PEP:Pyr PTS (periplasm),b2093 and b2415 and b2092 and b2094 and b2416,1 and 1 and 2 and 1 and 2 
GALURt2rpp,"D-galacturonate transport via proton symport, reversible (periplasm)",b3093,1
GLCNt2rpp,"D-gluconate transport via proton symport, reversible (periplasm)",b3415 or b4321 or b4476 or b4265,1 or 1 or 1 or 1 
GLCptspp,D-glucose transport via PEP:Pyr PTS (periplasm),( b2415 and b1101 and b2416 and b2417 ) or ( b2417 and b1621 and b2415 and b2416 ) or ( b1817 and b2415 and b1819 and b1818 and b2416 ),( 1 and 2 and 2 and 1 ) or ( 1 and 1 and 1 and 2 ) or ( 2 and 1 and 2 and 1 and 2 ) 
GLCRt2rpp,"D-glucarate transport via proton symport, reversible (periplasm)",b3127 or b2789,1 or 1 
GLCt2pp,D-glucose transport in via proton symport (periplasm),b2943,1
GLCURt2rpp,"D-glucuronate transport via proton symport, reversible (periplasm)",b3909 or b3093,1 or 1 
ACMUMptspp,N-acetylmuramate transport via PEP:Pyr PTS (periplasm),b2415 and b2417 and b2416 and b2429,1 and 1 and 2 and 1 
HSTPT,Histidinol-phosphate transaminase,b2021,2
THDPS,Tetrahydrodipicolinate succinylase,b0166,2
ACONMT,Trans-aconitate methyltransferase,b1519,1
XTSNtex,Xanthosine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GNK,Gluconokinase,b3437 or b4268,2 or 1 
HMBS,Hydroxymethylbilane synthase,b3805,1
RMK,Rhamnulokinase,b3904,1
FHL,Formate-hydrogen lyase,( b4079 and b2481 and b2488 and b2486 and b2482 and b2487 and b2489 and b2485 and b2483 and b2490 and b2484 ) or ( b4079 and b2719 and b2720 and b2723 and b2722 and b2724 and b2721 ),( 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 and 1 and 1 and 1 ) 
MEPCT,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,b2747,2
GLUDy,Glutamate dehydrogenase (NADP),b1761,6
ZN2abcpp,"Zinc (Zn+2) ABC transporter, efflux (periplasm)",b3469,1
GLYCLTDy,Glycolate dehydrogenase (NADP),b1033 or b3553,1 or 2 
LYSDC,Lysine decarboxylase,b0186 or b4131,10 or 10 
DAAD,D-Amino acid dehydrogenase,b1189,2
UREAtpp,Urea transport via facilitate diffusion (periplasm),b3927,4
XANt2pp,Xanthine transport in via proton symport (periplasm),b3654 or b2882 or b2888,1 or 1 or 1 
GLYC3Pabcpp,Sn-Glycerol 3-phosphate transport via ABC system (periplasm),b3453 and b3452 and b3451 and b3450,1 and 1 and 1 and 2 
PPPNt2rpp,"3-phenylpropionate transport via proton symport, reversible (periplasm)",b2536,1
PTRCORNt7pp,Putrescine/ornithine antiporter (periplasm),b0692,1
SPMDabcpp,Spermidine transport via ABC system (periplasm),( b1124 and b1123 and b1125 and b1126 ) or ( b1441 and b1443 and b1442 and b1440 ),( 1 and 1 and 1 and 2 ) or ( 1 and 1 and 1 and 1 ) 
HG2tex,Mercury (Hg+2) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NTPP5,Nucleoside triphosphate pyrophosphorylase (datp),b1865 or b2781,1 or 2 
NTD3,5'-nucleotidase (dCMP),b2291 or b2744 or b2361,2 or 1 or 1 
GLYOX,Hydroxyacylglutathione hydrolase,b0212,1
DADNtex,Deoxyadenosine transport via diffusion (extracellular to periplasm),b0411,1
DHAtex,Dihydroxyacetone transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ETOHtex,Ethanol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
MTRPOX,N-methyltryptophan oxidase,b1059,1
AGM4PCPpp,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic)",b2175,1
GTPDPDP,"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase",b3779,2
RNDR2,Ribonucleoside-diphosphate reductase (GDP),( b3781 and b2235 and b2234 ) or ( b2582 and b2235 and b2234 ),( 1 and 2 and 2 ) or ( 1 and 2 and 2 ) 
XAND,Xanthine dehydrogenase,b2867 and b2866 and b2868,1 and 1 and 1 
HACD3,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),b3846 or b2341,2 or 1 
ACACtex,Acetoacetate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACNAMtex,N-acetylneuraminate transport via diffusion (extracellular to periplasm),b0929 or b4311 or b2215,3 or 1 or 3 
ARBTNabcpp,Aerobactin transport via ABC system (periplasm),b0153 and b0151 and b0152,1 and 2 and 1 
NNDMBRT,Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase,b1991,2
THRA2,L-allo-Threonine Aldolase,b2551 or b0870,2 or 4 
ASO3t8pp,Arsenite efflux via ATP hydrolysis (periplasm),b3502,2
H2Stex,H2s transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
PPK,Polyphosphate kinase,b2501,2
ABUTD,Aminobutyraldehyde dehydrogenase,b1444,4
E4PD,Erythrose 4-phosphate dehydrogenase,b2927 or b1779,4 or 4 
IG3PS,Imidazole-glycerol-3-phosphate synthase,b2023 and b2025,1 and 1 
DADK,Deoxyadenylate kinase,b0474,1
DUTPDP,DUTP diphosphatase,b3640 or b2251,3 or 1 
NTP5,Nucleoside-triphosphatase (CTP),b4161,1
FORt2pp,"Formate transport via proton symport (uptake only, periplasm)",b0904 or b2492,5 or 1 
MTAN,Methylthioadenosine nucleosidase,b0159,2
DPR,2-dehydropantoate 2-reductase,b0425 or b3774,1 or 4 
THRD_L,L-threonine deaminase,b3772 or b3117,4 or 4 
4PEPTtex,LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NAMNPP,Nicotinic acid mononucleotide pyrophosphorylase,b0931,1
SELNPS,Selenophosphate synthase,b1764,2
CRNCAR,Carnitine-CoA racemase,b0036,1
GALabcpp,D-galactose transport via ABC system (periplasm),( b2149 and b2148 and b2150 ) or ( b4485 and b4227 and b4230 and b4231 ),( 1 and 2 and 1 ) or ( 1 and 1 and 1 and 1 ) 
GLYCLTt2rpp,"Glycolate transport via proton symport, reversible (periplasm)",b3603 or b2975,1 or 1 
GUAt2pp,Guanine transport in via proton symport (periplasm),b3654,1
HPPPNt2rpp,"3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)",b0353,1
ANHMK,"1,6-anhydrous-N-Acetylmuramate kinase",b1640,1
DHFR,Dihydrofolate reductase,b1606 or b0048,1 or 1 
PRAIi,Phosphoribosylanthranilate isomerase (irreversible),b1262,1
TYRTA,Tyrosine transaminase,b0928 or b4054 or b3770,2 or 2 or 6 
SHKK,Shikimate kinase,b3390 or b0388,1 or 1 
SADH,Succinylarginine dihydrolase,b1745,2
GLUSy,Glutamate synthase (NADPH),b3213 and b3212,4 and 4 
GUAPRT,Guanine phosphoribosyltransferase,b0125 or b0238,4 or 4 
PDH,Pyruvate dehydrogenase,b0116 and b0115 and b0114,12 and 24 and 24 
